root INFO 2022-07-27 10:03:59,299 啟動瀏覽器
root INFO 2022-07-27 10:04:00,376 午餐按鈕載入完畢
root INFO 2022-07-27 10:04:00,387 未開放
root INFO 2022-07-27 10:04:00,668 總執行時間：2.129007 秒
root INFO 2022-07-27 10:04:18,205 啟動瀏覽器
root INFO 2022-07-27 10:04:19,246 午餐按鈕載入完畢
root INFO 2022-07-27 10:04:19,256 未開放
root INFO 2022-07-27 10:04:19,531 總執行時間：2.407379 秒
root INFO 2022-07-27 10:05:59,926 啟動瀏覽器
root INFO 2022-07-27 10:06:00,457 午餐按鈕載入完畢
root INFO 2022-07-27 10:06:00,470 未開放
root INFO 2022-07-27 10:06:00,742 總執行時間：2.535315 秒
root INFO 2022-07-27 10:07:41,679 啟動瀏覽器
root INFO 2022-07-27 10:07:42,245 午餐按鈕載入完畢
root INFO 2022-07-27 10:07:42,258 未開放
root INFO 2022-07-27 10:08:18,941 點擊成功!
root INFO 2022-07-27 10:08:19,895 點擊成功!
root ERROR 2022-07-27 10:08:35,656 下一步按鈕或輸入名字欄位載入失敗
root INFO 2022-07-27 10:11:17,696 啟動瀏覽器
root INFO 2022-07-27 10:11:18,253 午餐按鈕載入完畢
root INFO 2022-07-27 10:11:18,273 未開放
root INFO 2022-07-27 10:11:32,912 點擊成功!
root INFO 2022-07-27 10:11:32,912 點擊成功!
root INFO 2022-07-27 10:11:50,520 啟動瀏覽器
root INFO 2022-07-27 10:11:51,566 午餐按鈕載入完畢
root INFO 2022-07-27 10:11:51,576 未開放
root INFO 2022-07-27 10:12:03,886 點擊成功!
root INFO 2022-07-27 10:12:03,886 點擊成功!
root ERROR 2022-07-27 10:12:09,064 下一步按鈕或輸入名字欄位載入失敗
root INFO 2022-07-27 10:25:21,635 啟動瀏覽器
root INFO 2022-07-27 10:25:22,174 午餐按鈕載入完畢
root INFO 2022-07-27 10:25:22,184 未開放
root INFO 2022-07-27 10:25:22,462 總執行時間：1.386161 秒
root INFO 2022-07-27 10:27:31,494 啟動瀏覽器
root INFO 2022-07-27 10:27:32,550 午餐按鈕載入完畢
root INFO 2022-07-27 10:27:32,561 未開放
root INFO 2022-07-27 10:27:32,841 總執行時間：1.947463 秒
root INFO 2022-07-27 11:14:45,911 啟動瀏覽器
root INFO 2022-07-27 11:14:46,962 午餐按鈕載入完畢
root INFO 2022-07-27 11:14:46,974 開放候位
root INFO 2022-07-27 11:15:22,381 啟動瀏覽器
root INFO 2022-07-27 11:15:23,443 午餐按鈕載入完畢
root INFO 2022-07-27 11:15:23,454 開放候位
root INFO 2022-07-27 11:16:09,192 點擊成功!
root ERROR 2022-07-27 11:16:30,271 下一步按鈕或輸入名字欄位載入失敗
